bundle_id,replicate,policy,review_duration,case_id,agent_id,family,task_completed,wrong_transaction_committed,service_failure_loss,wrong_transaction_loss,initial_error,staged,reviewed,automatic_rejections,operational_loss
evaluation_02,1,greedy,2,train:073,1,modify,False,False,4,0,False,False,False,9,4
evaluation_02,1,greedy,2,train:032,2,return_exchange,True,False,0,0,False,True,True,2,0
evaluation_02,1,search,2,train:105,0,cancel,True,False,0,0,False,True,True,1,0
evaluation_02,1,search,2,train:073,1,modify,False,False,4,0,False,False,False,9,4
evaluation_02,1,search,2,train:032,2,return_exchange,True,False,0,0,False,True,True,2,0
evaluation_02,1,no_review,2,train:105,0,cancel,True,False,0,0,False,True,False,1,0
evaluation_02,1,no_review,2,train:073,1,modify,False,False,4,0,False,False,False,9,4
evaluation_02,1,no_review,2,train:032,2,return_exchange,True,False,0,0,False,True,False,2,0
evaluation_02,1,fcfs,2,train:105,0,cancel,True,False,0,0,False,True,True,1,0
evaluation_02,1,fcfs,2,train:073,1,modify,False,False,4,0,False,False,False,9,4
evaluation_02,1,fcfs,2,train:032,2,return_exchange,True,False,0,0,False,True,True,2,0
evaluation_02,1,edf,1,train:105,0,cancel,True,False,0,0,False,True,True,1,0
evaluation_02,1,edf,1,train:073,1,modify,False,False,4,0,False,False,False,9,4
evaluation_02,1,edf,1,train:032,2,return_exchange,True,False,0,0,False,True,True,2,0
evaluation_02,1,uncertainty,1,train:105,0,cancel,True,False,0,0,False,True,True,1,0
evaluation_02,1,uncertainty,1,train:073,1,modify,False,False,4,0,False,False,False,9,4
evaluation_02,1,uncertainty,1,train:032,2,return_exchange,True,False,0,0,False,True,True,2,0
evaluation_02,1,greedy,1,train:105,0,cancel,True,False,0,0,False,True,True,1,0
evaluation_02,1,greedy,1,train:073,1,modify,False,False,4,0,False,False,False,9,4
evaluation_02,1,greedy,1,train:032,2,return_exchange,True,False,0,0,False,True,True,2,0
evaluation_02,1,search,1,train:105,0,cancel,True,False,0,0,False,True,True,1,0
evaluation_02,1,search,1,train:073,1,modify,False,False,4,0,False,False,False,9,4
evaluation_02,1,search,1,train:032,2,return_exchange,True,False,0,0,False,True,True,2,0
evaluation_02,1,no_review,1,train:105,0,cancel,True,False,0,0,False,True,False,1,0
evaluation_02,1,no_review,1,train:073,1,modify,False,False,4,0,False,False,False,9,4
evaluation_02,1,no_review,1,train:032,2,return_exchange,True,False,0,0,False,True,False,2,0
evaluation_02,1,fcfs,1,train:105,0,cancel,True,False,0,0,False,True,True,1,0
evaluation_02,1,fcfs,1,train:073,1,modify,False,False,4,0,False,False,False,9,4
evaluation_02,1,fcfs,1,train:032,2,return_exchange,True,False,0,0,False,True,True,2,0
evaluation_02,2,edf,2,train:105,0,cancel,True,False,0,0,False,True,True,1,0
evaluation_02,2,edf,2,train:073,1,modify,False,False,4,0,False,False,False,9,4
evaluation_02,2,edf,2,train:032,2,return_exchange,True,False,0,0,False,True,True,2,0
evaluation_02,2,uncertainty,2,train:105,0,cancel,True,False,0,0,False,True,True,1,0
evaluation_02,2,uncertainty,2,train:073,1,modify,False,False,4,0,False,False,False,9,4
evaluation_02,2,uncertainty,2,train:032,2,return_exchange,True,False,0,0,False,True,True,2,0
evaluation_02,2,greedy,2,train:105,0,cancel,True,False,0,0,False,True,True,1,0
evaluation_02,2,greedy,2,train:073,1,modify,False,False,4,0,False,False,False,9,4
evaluation_02,2,greedy,2,train:032,2,return_exchange,True,False,0,0,False,True,True,2,0
evaluation_02,2,search,2,train:105,0,cancel,True,False,0,0,False,True,True,1,0
evaluation_02,2,search,2,train:073,1,modify,False,False,4,0,False,False,False,9,4
evaluation_02,2,search,2,train:032,2,return_exchange,True,False,0,0,False,True,True,2,0
evaluation_02,2,no_review,2,train:105,0,cancel,True,False,0,0,False,True,False,1,0
evaluation_02,2,no_review,2,train:073,1,modify,False,False,4,0,False,False,False,9,4
evaluation_02,2,no_review,2,train:032,2,return_exchange,True,False,0,0,False,True,False,2,0
evaluation_02,2,fcfs,2,train:105,0,cancel,True,False,0,0,False,True,True,1,0
evaluation_02,2,fcfs,2,train:073,1,modify,False,False,4,0,False,False,False,9,4
evaluation_02,2,fcfs,2,train:032,2,return_exchange,True,False,0,0,False,True,True,2,0
evaluation_02,2,edf,1,train:105,0,cancel,True,False,0,0,False,True,True,1,0
evaluation_02,2,edf,1,train:073,1,modify,False,False,4,0,False,False,False,9,4
evaluation_02,2,edf,1,train:032,2,return_exchange,True,False,0,0,False,True,True,2,0
evaluation_02,2,uncertainty,1,train:105,0,cancel,True,False,0,0,False,True,True,1,0
