bundle_id,replicate,policy,review_duration,tick,eligible,initially_wrong_eligible,greedy_search_heads_differ
evaluation_11,2,greedy,2,5,0,0,False
evaluation_11,2,no_review,2,0,2,0,True
evaluation_11,2,no_review,2,1,2,1,False
evaluation_11,2,no_review,2,2,2,1,False
evaluation_11,2,no_review,2,3,2,1,False
evaluation_11,2,no_review,2,4,0,0,False
evaluation_11,2,no_review,2,5,0,0,False
evaluation_11,2,search,2,0,2,0,True
evaluation_11,2,search,2,2,2,1,False
evaluation_11,2,search,2,4,0,0,False
evaluation_11,2,search,2,5,0,0,False
evaluation_11,2,uncertainty,2,0,2,0,True
evaluation_11,2,uncertainty,2,2,1,1,False
evaluation_11,2,uncertainty,2,4,0,0,False
evaluation_11,2,uncertainty,2,5,0,0,False
evaluation_12,0,edf,1,0,2,0,True
evaluation_12,0,edf,1,1,2,1,False
evaluation_12,0,edf,1,2,1,1,False
evaluation_12,0,edf,1,3,0,0,False
evaluation_12,0,edf,1,4,0,0,False
evaluation_12,0,edf,1,5,0,0,False
evaluation_12,0,edf,1,6,0,0,False
evaluation_12,0,fcfs,1,0,2,0,True
evaluation_12,0,fcfs,1,1,2,1,False
evaluation_12,0,fcfs,1,2,1,1,False
evaluation_12,0,fcfs,1,3,0,0,False
evaluation_12,0,fcfs,1,4,0,0,False
evaluation_12,0,fcfs,1,5,0,0,False
evaluation_12,0,fcfs,1,6,0,0,False
evaluation_12,0,greedy,1,0,2,0,True
evaluation_12,0,greedy,1,1,2,1,True
evaluation_12,0,greedy,1,2,0,0,False
evaluation_12,0,greedy,1,3,0,0,False
evaluation_12,0,greedy,1,4,0,0,False
evaluation_12,0,greedy,1,5,0,0,False
evaluation_12,0,greedy,1,6,0,0,False
evaluation_12,0,no_review,1,0,2,0,True
evaluation_12,0,no_review,1,1,3,1,True
evaluation_12,0,no_review,1,2,2,1,False
evaluation_12,0,no_review,1,3,2,1,False
evaluation_12,0,no_review,1,4,1,1,False
evaluation_12,0,no_review,1,5,1,1,False
evaluation_12,0,no_review,1,6,0,0,False
evaluation_12,0,search,1,0,2,0,True
evaluation_12,0,search,1,1,2,1,False
evaluation_12,0,search,1,2,1,1,False
evaluation_12,0,search,1,3,0,0,False
evaluation_12,0,search,1,4,0,0,False
evaluation_12,0,search,1,5,0,0,False
evaluation_12,0,search,1,6,0,0,False
evaluation_12,0,uncertainty,1,0,2,0,True
evaluation_12,0,uncertainty,1,1,2,1,True
evaluation_12,0,uncertainty,1,2,0,0,False
evaluation_12,0,uncertainty,1,3,0,0,False
evaluation_12,0,uncertainty,1,4,0,0,False
evaluation_12,0,uncertainty,1,5,0,0,False
evaluation_12,0,uncertainty,1,6,0,0,False
evaluation_12,0,edf,2,0,2,0,True
evaluation_12,0,edf,2,2,2,1,False
evaluation_12,0,edf,2,4,1,1,False
evaluation_12,0,edf,2,6,0,0,False
evaluation_12,0,fcfs,2,0,2,0,True
evaluation_12,0,fcfs,2,2,2,1,False
evaluation_12,0,fcfs,2,4,1,1,False
evaluation_12,0,fcfs,2,6,0,0,False
evaluation_12,0,greedy,2,0,2,0,True
evaluation_12,0,greedy,2,2,1,1,False
evaluation_12,0,greedy,2,4,0,0,False
evaluation_12,0,greedy,2,5,0,0,False
evaluation_12,0,greedy,2,6,0,0,False
evaluation_12,0,no_review,2,0,2,0,True
evaluation_12,0,no_review,2,1,2,1,False
evaluation_12,0,no_review,2,2,2,1,False
evaluation_12,0,no_review,2,3,1,1,False
evaluation_12,0,no_review,2,4,1,1,False
evaluation_12,0,no_review,2,5,0,0,False
evaluation_12,0,no_review,2,6,0,0,False
evaluation_12,0,search,2,0,2,0,True
evaluation_12,0,search,2,2,2,1,False
evaluation_12,0,search,2,4,1,1,False
evaluation_12,0,search,2,6,0,0,False
evaluation_12,0,uncertainty,2,0,2,0,True
evaluation_12,0,uncertainty,2,2,1,1,False
evaluation_12,0,uncertainty,2,4,0,0,False
evaluation_12,0,uncertainty,2,5,0,0,False
evaluation_12,0,uncertainty,2,6,0,0,False
evaluation_12,1,edf,1,0,2,0,True
evaluation_12,1,edf,1,1,1,0,False
evaluation_12,1,edf,1,2,0,0,False
evaluation_12,1,edf,1,3,0,0,False
evaluation_12,1,edf,1,4,0,0,False
evaluation_12,1,edf,1,5,0,0,False
evaluation_12,1,edf,1,6,0,0,False
evaluation_12,1,fcfs,1,0,2,0,True
evaluation_12,1,fcfs,1,1,1,0,False
evaluation_12,1,fcfs,1,2,0,0,False
evaluation_12,1,fcfs,1,3,0,0,False
evaluation_12,1,fcfs,1,4,0,0,False
evaluation_12,1,fcfs,1,5,0,0,False
evaluation_12,1,fcfs,1,6,0,0,False
evaluation_12,1,greedy,1,0,2,0,True
evaluation_12,1,greedy,1,1,1,0,False
evaluation_12,1,greedy,1,2,0,0,False
evaluation_12,1,greedy,1,3,0,0,False
evaluation_12,1,greedy,1,4,0,0,False
evaluation_12,1,greedy,1,5,0,0,False
evaluation_12,1,greedy,1,6,0,0,False
evaluation_12,1,no_review,1,0,2,0,True
evaluation_12,1,no_review,1,1,2,0,True
evaluation_12,1,no_review,1,2,1,0,False
evaluation_12,1,no_review,1,3,1,0,False
evaluation_12,1,no_review,1,4,0,0,False
evaluation_12,1,no_review,1,5,0,0,False
evaluation_12,1,no_review,1,6,0,0,False
evaluation_12,1,search,1,0,2,0,True
evaluation_12,1,search,1,1,1,0,False
evaluation_12,1,search,1,2,0,0,False
evaluation_12,1,search,1,3,0,0,False
evaluation_12,1,search,1,4,0,0,False
evaluation_12,1,search,1,5,0,0,False
evaluation_12,1,search,1,6,0,0,False
evaluation_12,1,uncertainty,1,0,2,0,True
evaluation_12,1,uncertainty,1,1,1,0,False
evaluation_12,1,uncertainty,1,2,0,0,False
evaluation_12,1,uncertainty,1,3,0,0,False
evaluation_12,1,uncertainty,1,4,0,0,False
evaluation_12,1,uncertainty,1,5,0,0,False
evaluation_12,1,uncertainty,1,6,0,0,False
evaluation_12,1,edf,2,0,2,0,True
evaluation_12,1,edf,2,2,1,0,False
evaluation_12,1,edf,2,4,0,0,False
evaluation_12,1,edf,2,5,0,0,False
evaluation_12,1,edf,2,6,0,0,False
evaluation_12,1,fcfs,2,0,2,0,True
evaluation_12,1,fcfs,2,2,1,0,False
evaluation_12,1,fcfs,2,4,0,0,False
evaluation_12,1,fcfs,2,5,0,0,False
evaluation_12,1,fcfs,2,6,0,0,False
evaluation_12,1,greedy,2,0,2,0,True
evaluation_12,1,greedy,2,2,0,0,False
evaluation_12,1,greedy,2,3,0,0,False
evaluation_12,1,greedy,2,4,0,0,False
evaluation_12,1,greedy,2,5,0,0,False
evaluation_12,1,greedy,2,6,0,0,False
evaluation_12,1,no_review,2,0,2,0,True
evaluation_12,1,no_review,2,1,1,0,False
evaluation_12,1,no_review,2,2,1,0,False
evaluation_12,1,no_review,2,3,0,0,False
evaluation_12,1,no_review,2,4,0,0,False
evaluation_12,1,no_review,2,5,0,0,False
evaluation_12,1,no_review,2,6,0,0,False
evaluation_12,1,search,2,0,2,0,True
evaluation_12,1,search,2,2,1,0,False
evaluation_12,1,search,2,4,0,0,False
evaluation_12,1,search,2,5,0,0,False
evaluation_12,1,search,2,6,0,0,False
evaluation_12,1,uncertainty,2,0,2,0,True
evaluation_12,1,uncertainty,2,2,0,0,False
evaluation_12,1,uncertainty,2,3,0,0,False
evaluation_12,1,uncertainty,2,4,0,0,False
evaluation_12,1,uncertainty,2,5,0,0,False
evaluation_12,1,uncertainty,2,6,0,0,False
evaluation_12,2,edf,1,0,2,0,True
evaluation_12,2,edf,1,1,1,0,False
evaluation_12,2,edf,1,2,0,0,False
evaluation_12,2,edf,1,3,0,0,False
evaluation_12,2,edf,1,4,0,0,False
evaluation_12,2,edf,1,5,0,0,False
evaluation_12,2,edf,1,6,0,0,False
evaluation_12,2,fcfs,1,0,2,0,True
evaluation_12,2,fcfs,1,1,1,0,False
evaluation_12,2,fcfs,1,2,0,0,False
evaluation_12,2,fcfs,1,3,0,0,False
evaluation_12,2,fcfs,1,4,0,0,False
evaluation_12,2,fcfs,1,5,0,0,False
evaluation_12,2,fcfs,1,6,0,0,False
evaluation_12,2,greedy,1,0,2,0,True
evaluation_12,2,greedy,1,1,1,0,False
evaluation_12,2,greedy,1,2,0,0,False
evaluation_12,2,greedy,1,3,0,0,False
evaluation_12,2,greedy,1,4,0,0,False
evaluation_12,2,greedy,1,5,0,0,False
evaluation_12,2,greedy,1,6,0,0,False
evaluation_12,2,no_review,1,0,2,0,True
evaluation_12,2,no_review,1,1,2,0,True
evaluation_12,2,no_review,1,2,1,0,False
evaluation_12,2,no_review,1,3,1,0,False
evaluation_12,2,no_review,1,4,0,0,False
evaluation_12,2,no_review,1,5,0,0,False
evaluation_12,2,no_review,1,6,0,0,False
evaluation_12,2,search,1,0,2,0,True
evaluation_12,2,search,1,1,1,0,False
evaluation_12,2,search,1,2,0,0,False
evaluation_12,2,search,1,3,0,0,False
evaluation_12,2,search,1,4,0,0,False
evaluation_12,2,search,1,5,0,0,False
evaluation_12,2,search,1,6,0,0,False
evaluation_12,2,uncertainty,1,0,2,0,True
evaluation_12,2,uncertainty,1,1,1,0,False
evaluation_12,2,uncertainty,1,2,0,0,False
evaluation_12,2,uncertainty,1,3,0,0,False
evaluation_12,2,uncertainty,1,4,0,0,False
evaluation_12,2,uncertainty,1,5,0,0,False
evaluation_12,2,uncertainty,1,6,0,0,False
evaluation_12,2,edf,2,0,2,0,True
evaluation_12,2,edf,2,2,1,0,False
evaluation_12,2,edf,2,4,0,0,False
evaluation_12,2,edf,2,5,0,0,False
evaluation_12,2,edf,2,6,0,0,False
evaluation_12,2,fcfs,2,0,2,0,True
evaluation_12,2,fcfs,2,2,1,0,False
evaluation_12,2,fcfs,2,4,0,0,False
evaluation_12,2,fcfs,2,5,0,0,False
evaluation_12,2,fcfs,2,6,0,0,False
evaluation_12,2,greedy,2,0,2,0,True
evaluation_12,2,greedy,2,2,0,0,False
evaluation_12,2,greedy,2,3,0,0,False
evaluation_12,2,greedy,2,4,0,0,False
evaluation_12,2,greedy,2,5,0,0,False
evaluation_12,2,greedy,2,6,0,0,False
evaluation_12,2,no_review,2,0,2,0,True
evaluation_12,2,no_review,2,1,1,0,False
evaluation_12,2,no_review,2,2,1,0,False
evaluation_12,2,no_review,2,3,0,0,False
evaluation_12,2,no_review,2,4,0,0,False
evaluation_12,2,no_review,2,5,0,0,False
evaluation_12,2,no_review,2,6,0,0,False
evaluation_12,2,search,2,0,2,0,True
evaluation_12,2,search,2,2,1,0,False
evaluation_12,2,search,2,4,0,0,False
evaluation_12,2,search,2,5,0,0,False
evaluation_12,2,search,2,6,0,0,False
evaluation_12,2,uncertainty,2,0,2,0,True
evaluation_12,2,uncertainty,2,2,0,0,False
evaluation_12,2,uncertainty,2,3,0,0,False
evaluation_12,2,uncertainty,2,4,0,0,False
evaluation_12,2,uncertainty,2,5,0,0,False
evaluation_12,2,uncertainty,2,6,0,0,False
evaluation_13,0,edf,1,0,1,0,False
evaluation_13,0,edf,1,1,1,1,False
evaluation_13,0,edf,1,2,0,0,False
evaluation_13,0,edf,1,3,0,0,False
evaluation_13,0,edf,1,4,0,0,False
evaluation_13,0,edf,1,5,0,0,False
evaluation_13,0,fcfs,1,0,1,0,False
evaluation_13,0,fcfs,1,1,1,1,False
evaluation_13,0,fcfs,1,2,0,0,False
evaluation_13,0,fcfs,1,3,0,0,False
evaluation_13,0,fcfs,1,4,0,0,False
evaluation_13,0,fcfs,1,5,0,0,False
evaluation_13,0,greedy,1,0,1,0,False
evaluation_13,0,greedy,1,1,1,1,False
evaluation_13,0,greedy,1,2,0,0,False
evaluation_13,0,greedy,1,3,0,0,False
evaluation_13,0,greedy,1,4,0,0,False
evaluation_13,0,greedy,1,5,0,0,False
evaluation_13,0,no_review,1,0,1,0,False
evaluation_13,0,no_review,1,1,2,1,False
evaluation_13,0,no_review,1,2,2,1,True
evaluation_13,0,no_review,1,3,1,0,False
evaluation_13,0,no_review,1,4,1,0,False
evaluation_13,0,no_review,1,5,0,0,False
evaluation_13,0,search,1,0,1,0,False
evaluation_13,0,search,1,1,1,1,False
evaluation_13,0,search,1,2,0,0,False
evaluation_13,0,search,1,3,0,0,False
evaluation_13,0,search,1,4,0,0,False
evaluation_13,0,search,1,5,0,0,False
evaluation_13,0,uncertainty,1,0,1,0,False
evaluation_13,0,uncertainty,1,1,1,1,False
evaluation_13,0,uncertainty,1,2,0,0,False
evaluation_13,0,uncertainty,1,3,0,0,False
evaluation_13,0,uncertainty,1,4,0,0,False
evaluation_13,0,uncertainty,1,5,0,0,False
evaluation_13,0,edf,2,0,1,0,False
evaluation_13,0,edf,2,2,0,0,False
evaluation_13,0,edf,2,3,0,0,False
evaluation_13,0,edf,2,4,0,0,False
evaluation_13,0,edf,2,5,0,0,False
evaluation_13,0,fcfs,2,0,1,0,False
evaluation_13,0,fcfs,2,2,0,0,False
evaluation_13,0,fcfs,2,3,0,0,False
evaluation_13,0,fcfs,2,4,0,0,False
evaluation_13,0,fcfs,2,5,0,0,False
evaluation_13,0,greedy,2,0,1,0,False
evaluation_13,0,greedy,2,2,0,0,False
evaluation_13,0,greedy,2,3,0,0,False
evaluation_13,0,greedy,2,4,0,0,False
evaluation_13,0,greedy,2,5,0,0,False
evaluation_13,0,no_review,2,0,1,0,False
evaluation_13,0,no_review,2,1,2,1,True
evaluation_13,0,no_review,2,2,1,0,False
evaluation_13,0,no_review,2,3,1,0,False
evaluation_13,0,no_review,2,4,0,0,False
evaluation_13,0,no_review,2,5,0,0,False
evaluation_13,0,search,2,0,1,0,False
evaluation_13,0,search,2,2,0,0,False
evaluation_13,0,search,2,3,0,0,False
evaluation_13,0,search,2,4,0,0,False
evaluation_13,0,search,2,5,0,0,False
evaluation_13,0,uncertainty,2,0,1,0,False
evaluation_13,0,uncertainty,2,2,0,0,False
evaluation_13,0,uncertainty,2,3,0,0,False
evaluation_13,0,uncertainty,2,4,0,0,False
evaluation_13,0,uncertainty,2,5,0,0,False
evaluation_13,1,edf,1,0,2,0,False
evaluation_13,1,edf,1,1,2,1,False
evaluation_13,1,edf,1,2,1,0,False
evaluation_13,1,edf,1,3,0,0,False
evaluation_13,1,edf,1,4,0,0,False
evaluation_13,1,edf,1,5,0,0,False
evaluation_13,1,fcfs,1,0,2,0,False
evaluation_13,1,fcfs,1,1,2,1,True
evaluation_13,1,fcfs,1,2,1,1,False
evaluation_13,1,fcfs,1,3,0,0,False
evaluation_13,1,fcfs,1,4,0,0,False
evaluation_13,1,fcfs,1,5,0,0,False
evaluation_13,1,greedy,1,0,2,0,False
evaluation_13,1,greedy,1,1,2,1,True
evaluation_13,1,greedy,1,2,1,0,False
evaluation_13,1,greedy,1,3,0,0,False
evaluation_13,1,greedy,1,4,0,0,False
evaluation_13,1,greedy,1,5,0,0,False
evaluation_13,1,no_review,1,0,2,0,False
evaluation_13,1,no_review,1,1,3,1,False
evaluation_13,1,no_review,1,2,3,1,True
evaluation_13,1,no_review,1,3,2,0,True
evaluation_13,1,no_review,1,4,1,0,False
evaluation_13,1,no_review,1,5,0,0,False
evaluation_13,1,search,1,0,2,0,False
evaluation_13,1,search,1,1,2,1,True
evaluation_13,1,search,1,2,1,1,False
evaluation_13,1,search,1,3,0,0,False
evaluation_13,1,search,1,4,0,0,False
evaluation_13,1,search,1,5,0,0,False
evaluation_13,1,uncertainty,1,0,2,0,False
evaluation_13,1,uncertainty,1,1,2,1,True
evaluation_13,1,uncertainty,1,2,1,0,False
evaluation_13,1,uncertainty,1,3,0,0,False
evaluation_13,1,uncertainty,1,4,0,0,False
evaluation_13,1,uncertainty,1,5,0,0,False
evaluation_13,1,edf,2,0,2,0,False
evaluation_13,1,edf,2,2,1,0,False
evaluation_13,1,edf,2,4,0,0,False
evaluation_13,1,edf,2,5,0,0,False
evaluation_13,1,fcfs,2,0,2,0,False
evaluation_13,1,fcfs,2,2,1,0,False
evaluation_13,1,fcfs,2,4,0,0,False
evaluation_13,1,fcfs,2,5,0,0,False
evaluation_13,1,greedy,2,0,2,0,False
evaluation_13,1,greedy,2,2,1,0,False
evaluation_13,1,greedy,2,4,0,0,False
evaluation_13,1,greedy,2,5,0,0,False
evaluation_13,1,no_review,2,0,2,0,False
evaluation_13,1,no_review,2,1,3,1,True
evaluation_13,1,no_review,2,2,2,0,False
evaluation_13,1,no_review,2,3,1,0,False
evaluation_13,1,no_review,2,4,0,0,False
evaluation_13,1,no_review,2,5,0,0,False
evaluation_13,1,search,2,0,2,0,False
evaluation_13,1,search,2,2,1,0,False
evaluation_13,1,search,2,4,0,0,False
evaluation_13,1,search,2,5,0,0,False
evaluation_13,1,uncertainty,2,0,2,0,False
evaluation_13,1,uncertainty,2,2,1,0,False
evaluation_13,1,uncertainty,2,4,0,0,False
evaluation_13,1,uncertainty,2,5,0,0,False
evaluation_13,2,edf,1,0,2,0,False
evaluation_13,2,edf,1,1,2,1,False
evaluation_13,2,edf,1,2,1,0,False
evaluation_13,2,edf,1,3,0,0,False
evaluation_13,2,edf,1,4,0,0,False
evaluation_13,2,edf,1,5,0,0,False
evaluation_13,2,fcfs,1,0,2,0,False
evaluation_13,2,fcfs,1,1,2,1,True
evaluation_13,2,fcfs,1,2,1,1,False
evaluation_13,2,fcfs,1,3,0,0,False
evaluation_13,2,fcfs,1,4,0,0,False
evaluation_13,2,fcfs,1,5,0,0,False
evaluation_13,2,greedy,1,0,2,0,False
evaluation_13,2,greedy,1,1,2,1,True
evaluation_13,2,greedy,1,2,1,0,False
evaluation_13,2,greedy,1,3,0,0,False
evaluation_13,2,greedy,1,4,0,0,False
evaluation_13,2,greedy,1,5,0,0,False
evaluation_13,2,no_review,1,0,2,0,False
evaluation_13,2,no_review,1,1,3,1,False
evaluation_13,2,no_review,1,2,3,1,True
evaluation_13,2,no_review,1,3,2,0,True
evaluation_13,2,no_review,1,4,1,0,False
evaluation_13,2,no_review,1,5,0,0,False
evaluation_13,2,search,1,0,2,0,False
evaluation_13,2,search,1,1,2,1,True
evaluation_13,2,search,1,2,1,1,False
evaluation_13,2,search,1,3,0,0,False
evaluation_13,2,search,1,4,0,0,False
evaluation_13,2,search,1,5,0,0,False
evaluation_13,2,uncertainty,1,0,2,0,False
evaluation_13,2,uncertainty,1,1,2,1,True
evaluation_13,2,uncertainty,1,2,1,0,False
evaluation_13,2,uncertainty,1,3,0,0,False
evaluation_13,2,uncertainty,1,4,0,0,False
evaluation_13,2,uncertainty,1,5,0,0,False
evaluation_13,2,edf,2,0,2,0,False
evaluation_13,2,edf,2,2,1,0,False
evaluation_13,2,edf,2,4,0,0,False
evaluation_13,2,edf,2,5,0,0,False
evaluation_13,2,fcfs,2,0,2,0,False
evaluation_13,2,fcfs,2,2,1,0,False
evaluation_13,2,fcfs,2,4,0,0,False
evaluation_13,2,fcfs,2,5,0,0,False
evaluation_13,2,greedy,2,0,2,0,False
evaluation_13,2,greedy,2,2,1,0,False
evaluation_13,2,greedy,2,4,0,0,False
evaluation_13,2,greedy,2,5,0,0,False
evaluation_13,2,no_review,2,0,2,0,False
evaluation_13,2,no_review,2,1,3,1,True
evaluation_13,2,no_review,2,2,2,0,False
evaluation_13,2,no_review,2,3,1,0,False
evaluation_13,2,no_review,2,4,0,0,False
evaluation_13,2,no_review,2,5,0,0,False
evaluation_13,2,search,2,0,2,0,False
evaluation_13,2,search,2,2,1,0,False
evaluation_13,2,search,2,4,0,0,False
evaluation_13,2,search,2,5,0,0,False
evaluation_13,2,uncertainty,2,0,2,0,False
evaluation_13,2,uncertainty,2,2,1,0,False
evaluation_13,2,uncertainty,2,4,0,0,False
evaluation_13,2,uncertainty,2,5,0,0,False
evaluation_14,0,edf,1,0,2,1,False
evaluation_14,0,edf,1,1,2,1,True
evaluation_14,0,edf,1,2,1,1,False
evaluation_14,0,edf,1,3,0,0,False
evaluation_14,0,edf,1,4,0,0,False
evaluation_14,0,edf,1,5,0,0,False
evaluation_14,0,fcfs,1,0,2,1,False
evaluation_14,0,fcfs,1,1,2,1,True
evaluation_14,0,fcfs,1,2,1,1,False
evaluation_14,0,fcfs,1,3,0,0,False
evaluation_14,0,fcfs,1,4,0,0,False
evaluation_14,0,fcfs,1,5,0,0,False
evaluation_14,0,greedy,1,0,2,1,False
evaluation_14,0,greedy,1,1,2,1,True
evaluation_14,0,greedy,1,2,1,0,False
evaluation_14,0,greedy,1,3,0,0,False
evaluation_14,0,greedy,1,4,0,0,False
evaluation_14,0,greedy,1,5,0,0,False
evaluation_14,0,no_review,1,0,2,1,False
evaluation_14,0,no_review,1,1,3,2,True
evaluation_14,0,no_review,1,2,2,1,True
evaluation_14,0,no_review,1,3,2,1,True
evaluation_14,0,no_review,1,4,2,1,False
evaluation_14,0,no_review,1,5,0,0,False
evaluation_14,0,search,1,0,2,1,False
evaluation_14,0,search,1,1,2,1,True
evaluation_14,0,search,1,2,1,1,False
evaluation_14,0,search,1,3,0,0,False
evaluation_14,0,search,1,4,0,0,False
evaluation_14,0,search,1,5,0,0,False
evaluation_14,0,uncertainty,1,0,2,1,False
evaluation_14,0,uncertainty,1,1,2,1,True
evaluation_14,0,uncertainty,1,2,1,0,False
evaluation_14,0,uncertainty,1,3,0,0,False
evaluation_14,0,uncertainty,1,4,0,0,False
evaluation_14,0,uncertainty,1,5,0,0,False
evaluation_14,0,edf,2,0,2,1,False
evaluation_14,0,edf,2,2,2,1,False
evaluation_14,0,edf,2,4,0,0,False
evaluation_14,0,edf,2,5,0,0,False
evaluation_14,0,fcfs,2,0,2,1,False
evaluation_14,0,fcfs,2,2,2,1,False
evaluation_14,0,fcfs,2,4,0,0,False
evaluation_14,0,fcfs,2,5,0,0,False
evaluation_14,0,greedy,2,0,2,1,False
evaluation_14,0,greedy,2,2,2,1,False
evaluation_14,0,greedy,2,4,0,0,False
evaluation_14,0,greedy,2,5,0,0,False
evaluation_14,0,no_review,2,0,2,1,False
evaluation_14,0,no_review,2,1,2,1,True
evaluation_14,0,no_review,2,2,2,1,False
evaluation_14,0,no_review,2,3,2,1,False
evaluation_14,0,no_review,2,4,0,0,False
evaluation_14,0,no_review,2,5,0,0,False
evaluation_14,0,search,2,0,2,1,False
evaluation_14,0,search,2,2,2,1,False
evaluation_14,0,search,2,4,0,0,False
evaluation_14,0,search,2,5,0,0,False
evaluation_14,0,uncertainty,2,0,2,1,False
evaluation_14,0,uncertainty,2,2,2,1,False
evaluation_14,0,uncertainty,2,4,0,0,False
evaluation_14,0,uncertainty,2,5,0,0,False
evaluation_14,1,edf,1,0,1,1,False
evaluation_14,1,edf,1,1,1,1,False
evaluation_14,1,edf,1,2,0,0,False
evaluation_14,1,edf,1,3,0,0,False
evaluation_14,1,edf,1,4,0,0,False
evaluation_14,1,edf,1,5,0,0,False
evaluation_14,1,fcfs,1,0,1,1,False
evaluation_14,1,fcfs,1,1,1,1,False
evaluation_14,1,fcfs,1,2,0,0,False
evaluation_14,1,fcfs,1,3,0,0,False
evaluation_14,1,fcfs,1,4,0,0,False
evaluation_14,1,fcfs,1,5,0,0,False
evaluation_14,1,greedy,1,0,1,1,False
evaluation_14,1,greedy,1,1,1,1,False
evaluation_14,1,greedy,1,2,0,0,False
evaluation_14,1,greedy,1,3,0,0,False
evaluation_14,1,greedy,1,4,0,0,False
evaluation_14,1,greedy,1,5,0,0,False
evaluation_14,1,no_review,1,0,1,1,False
evaluation_14,1,no_review,1,1,2,2,True
evaluation_14,1,no_review,1,2,1,1,False
evaluation_14,1,no_review,1,3,1,1,False
evaluation_14,1,no_review,1,4,1,1,False
evaluation_14,1,no_review,1,5,0,0,False
evaluation_14,1,search,1,0,1,1,False
evaluation_14,1,search,1,1,1,1,False
evaluation_14,1,search,1,2,0,0,False
evaluation_14,1,search,1,3,0,0,False
evaluation_14,1,search,1,4,0,0,False
evaluation_14,1,search,1,5,0,0,False
evaluation_14,1,uncertainty,1,0,1,1,False
evaluation_14,1,uncertainty,1,1,1,1,False
evaluation_14,1,uncertainty,1,2,0,0,False
evaluation_14,1,uncertainty,1,3,0,0,False
evaluation_14,1,uncertainty,1,4,0,0,False
evaluation_14,1,uncertainty,1,5,0,0,False
evaluation_14,1,edf,2,0,1,1,False
evaluation_14,1,edf,2,2,1,1,False
evaluation_14,1,edf,2,4,0,0,False
evaluation_14,1,edf,2,5,0,0,False
evaluation_14,1,fcfs,2,0,1,1,False
evaluation_14,1,fcfs,2,2,1,1,False
evaluation_14,1,fcfs,2,4,0,0,False
evaluation_14,1,fcfs,2,5,0,0,False
evaluation_14,1,greedy,2,0,1,1,False
evaluation_14,1,greedy,2,2,1,1,False
evaluation_14,1,greedy,2,4,0,0,False
evaluation_14,1,greedy,2,5,0,0,False
evaluation_14,1,no_review,2,0,1,1,False
evaluation_14,1,no_review,2,1,1,1,False
evaluation_14,1,no_review,2,2,1,1,False
evaluation_14,1,no_review,2,3,1,1,False
evaluation_14,1,no_review,2,4,0,0,False
evaluation_14,1,no_review,2,5,0,0,False
evaluation_14,1,search,2,0,1,1,False
evaluation_14,1,search,2,2,1,1,False
evaluation_14,1,search,2,4,0,0,False
evaluation_14,1,search,2,5,0,0,False
evaluation_14,1,uncertainty,2,0,1,1,False
evaluation_14,1,uncertainty,2,2,1,1,False
evaluation_14,1,uncertainty,2,4,0,0,False
evaluation_14,1,uncertainty,2,5,0,0,False
evaluation_14,2,edf,1,0,1,1,False
evaluation_14,2,edf,1,1,1,1,False
evaluation_14,2,edf,1,2,0,0,False
evaluation_14,2,edf,1,3,0,0,False
evaluation_14,2,edf,1,4,0,0,False
evaluation_14,2,edf,1,5,0,0,False
evaluation_14,2,fcfs,1,0,1,1,False
evaluation_14,2,fcfs,1,1,1,1,False
evaluation_14,2,fcfs,1,2,0,0,False
evaluation_14,2,fcfs,1,3,0,0,False
evaluation_14,2,fcfs,1,4,0,0,False
evaluation_14,2,fcfs,1,5,0,0,False
evaluation_14,2,greedy,1,0,1,1,False
evaluation_14,2,greedy,1,1,1,1,False
evaluation_14,2,greedy,1,2,0,0,False
evaluation_14,2,greedy,1,3,0,0,False
evaluation_14,2,greedy,1,4,0,0,False
evaluation_14,2,greedy,1,5,0,0,False
evaluation_14,2,no_review,1,0,1,1,False
evaluation_14,2,no_review,1,1,2,2,True
evaluation_14,2,no_review,1,2,1,1,False
evaluation_14,2,no_review,1,3,1,1,False
evaluation_14,2,no_review,1,4,1,1,False
evaluation_14,2,no_review,1,5,0,0,False
evaluation_14,2,search,1,0,1,1,False
evaluation_14,2,search,1,1,1,1,False
evaluation_14,2,search,1,2,0,0,False
evaluation_14,2,search,1,3,0,0,False
evaluation_14,2,search,1,4,0,0,False
evaluation_14,2,search,1,5,0,0,False
evaluation_14,2,uncertainty,1,0,1,1,False
evaluation_14,2,uncertainty,1,1,1,1,False
evaluation_14,2,uncertainty,1,2,0,0,False
evaluation_14,2,uncertainty,1,3,0,0,False
evaluation_14,2,uncertainty,1,4,0,0,False
evaluation_14,2,uncertainty,1,5,0,0,False
evaluation_14,2,edf,2,0,1,1,False
evaluation_14,2,edf,2,2,1,1,False
evaluation_14,2,edf,2,4,0,0,False
evaluation_14,2,edf,2,5,0,0,False
evaluation_14,2,fcfs,2,0,1,1,False
evaluation_14,2,fcfs,2,2,1,1,False
evaluation_14,2,fcfs,2,4,0,0,False
